cve_munedo,Periodo,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados
7012,202003,0,2,0,0,0,0,0,0
7012,202004,3,3,0,0,0,2,0,3
7012,202005,23,6,0,2,0,13,2,26
7012,202006,22,1,0,3,0,7,5,48
7012,202007,8,4,0,1,0,5,6,56
7012,202008,4,7,0,1,0,0,7,60
7013,202004,0,1,0,0,0,0,0,0
7013,202005,4,6,0,0,0,4,0,4
7013,202006,26,5,1,4,0,3,4,30
7013,202007,9,10,7,0,0,5,4,39
7013,202008,0,14,4,0,0,0,4,39
7013,202009,0,0,2,0,0,0,4,39
7014,202004,0,1,0,0,0,0,0,0
7014,202005,0,1,0,0,0,0,0,0
7014,202006,3,0,0,0,0,1,0,3
7014,202007,0,0,1,0,0,0,0,3
7014,202008,0,1,0,0,0,0,0,3
7015,202004,4,3,0,1,0,3,1,4
7015,202005,5,2,0,2,0,2,3,9
7015,202006,16,5,0,2,0,8,5,25
7015,202007,3,1,0,1,0,1,6,28
7015,202008,3,6,0,1,0,0,7,31
